Compound Method,Napthlene,2-Methylnapthlene,1-Methylnapthlene,"1,6-Dimethylnapthlene",Acenaphthylene,Acenaphthene,"2,3,5-Trimethylnapthalene",Fluorene,Dibenzothiophene,Phenanthrene,Anthracene,2-Methyldibenzothiophene,2-Methylphenanthrene,"2,8-Dimethyldibenzothiophene","2,4-Dimethylphenanthrene","2,4,7-Trimethyldibenzothiophene",Fluoranthene,Pyrene,"1,2,6-Trimethylphenanthrene","1,2,8-Trimethylphenanthrene",1-Methylfluoranthene,Benzo[e]phenanthrene,Benz[a]anthracene,Triphenylene,Chrysene,1-Methylchrysene,6-Ethylchrysene,Benzo[b]fluoranthene,Benzo[k]fluoranthene,Benzo[j]fluoranthene,Benzo[e]pyrene,Benzo[a]pyrene,Perylene,"Indeno[1,2,3-c,d]pyrene","Dibenz[a,h]anthracene","Benzo[g,h,i]perylene",
 CMO diesel tech mix (non-dilute),87071.75,494741.70,347604.81,371504.02,5866.71,9908.10,179808.12,41667.19,0.00,37309.26,0.00,0.00,56919.03,0.00,29395.26,0.00,1596.79,7123.78,5495.64,2201.91,1982.39,0.00,0.00,1486.79,1797.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
UV CMO diesel tech mix (non-dilute),78187.12,422668.47,293866.72,302325.67,3311.13,5873.33,135250.84,28421.38,0.00,27402.27,0.00,0.00,46604.38,0.00,23852.95,0.00,0.00,1717.59,3886.74,1870.91,0.00,0.00,0.00,1476.46,1770.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Thamali set #2 CTRL Bulk oil #1 (non-dilute),83046.44,474973.00,333302.74,337375.04,6027.66,6043.67,151608.72,31625.54,0.00,26827.93,0.00,0.00,39484.93,0.00,15640.41,0.00,0.00,1624.85,3158.84,1680.72,0.00,0.00,0.00,1448.63,1761.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Thamali set #2 CTRL Bulk oil #2 (non-dilute),85154.51,451148.42,312784.49,314316.83,4308.65,6083.74,138122.46,28698.23,0.00,26113.01,0.00,0.00,38253.47,0.00,16360.39,0.00,0.00,1617.96,3073.89,1638.18,0.00,0.00,0.00,1451.23,1762.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Thamali set #2 Exp ND Bulk oil #1 (non-dilute),78582.67,431383.72,299120.34,282273.95,3132.64,5656.00,126184.00,26167.40,0.00,24071.95,0.00,0.00,36479.41,0.00,17790.41,0.00,0.00,1620.47,3323.85,1662.30,0.00,0.00,0.00,1445.98,1763.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Thamali set #2 Exp ND Bulk oil #2  (non-dilute),74690.48,415050.75,286312.20,286325.57,3260.91,5553.24,128305.98,25429.23,0.00,23680.03,0.00,0.00,41454.89,0.00,19046.15,0.00,0.00,1636.03,3439.59,1691.83,0.00,0.00,0.00,1460.49,1762.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Thamali set #2 Exp ND#1 water extract  (non-dilute),11032.66,42531.88,33718.85,30596.25,0.00,3111.78,13989.73,5830.36,0.00,5514.71,0.00,0.00,6558.14,0.00,5705.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Thamali set #2 Exp ND#2 water extract (non-dilute),8909.26,27886.90,20353.64,18068.74,0.00,0.00,8832.61,5152.08,0.00,5040.35,0.00,0.00,5750.33,0.00,5280.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
 Thamali set #2 CTRL 6 wk full sample (non-dilute),62492.79,417254.42,301007.06,324285.20,4764.49,6976.25,134656.42,23738.09,0.00,18103.11,0.00,0.00,25460.21,0.00,14616.71,0.00,0.00,0.00,6339.19,5220.81,0.00,0.00,0.00,5606.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Thamali set #2 EXP ND 6 wk full sample (non-dilute),60548.85,418982.16,301151.85,335139.84,4828.62,7370.34,144262.76,24103.13,0.00,18694.89,0.00,0.00,26101.69,0.00,14602.02,0.00,0.00,0.00,6359.02,5244.56,0.00,0.00,0.00,5596.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
 CTRL#1 water extract Thamali set 2 100ul IS,962.69,3218.64,2569.87,3200.22,56.66,79.86,2106.34,428.94,0.00,413.03,106.96,0.00,695.30,0.00,427.05,0.00,35.32,88.51,86.55,39.06,0.00,0.00,39.77,29.76,35.65,0.00,0.00,34.53,0.00,0.00,19.92,0.00,0.00,0.00,0.00,28.48,
CTRL#2 water extract Thamali set 2 100ul IS,1163.02,3404.44,2623.33,2776.79,31.68,74.01,2058.22,346.85,0.00,302.07,104.94,0.00,492.44,0.00,329.47,0.00,0.00,51.69,77.59,36.32,0.00,0.00,40.11,29.18,35.46,0.00,0.00,34.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
